object_id,name,altitude_km,inclination_deg,period_min,phase_deg,raan_deg,eccentricity,type,notes
DEB-034,Fengyun-1C Fragment C,870.0,98.8,102.2,95.0,172.0,0.0,DEBRIS,ASAT debris (SYNTHETIC)
DEB-035,Envisat Debris,770.0,98.4,100.4,165.0,110.0,0.0,DEBRIS,ESA envisat fragment (SYNTHETIC)
DEB-036,UARS Fragment,440.0,57.0,93.0,240.0,25.0,0.0,DEBRIS,NASA upper atmosphere fragment (SYNTHETIC)
DEB-037,Spot-4 Fragment,822.0,98.7,101.5,55.0,155.0,0.0,DEBRIS,French satellite fragment (SYNTHETIC)
DEB-038,Globalstar Fragment,1414.0,52.0,113.9,180.0,220.0,0.0,DEBRIS,Comm satellite fragment (SYNTHETIC)
DEB-039,GPS SVN-23 Fragment,20200.0,55.0,718.0,60.0,240.0,0.0,DEBRIS,GPS satellite fragment (SYNTHETIC)
DEB-040,Molniya Fragment,550.5,51.6,95.32,180.5,0.0,0.0,DEBRIS,Russian comms satellite fragment (SYNTHETIC) — MODERATE RISK
DEB-041,Yaogan Fragment,500.0,97.8,94.15,30.0,20.0,0.0,DEBRIS,Chinese recon satellite fragment (SYNTHETIC)
DEB-042,TanDEM-X Fragment,514.0,97.4,94.5,75.0,35.0,0.0,DEBRIS,German radar satellite fragment (SYNTHETIC)
DEB-043,PRISMA Fragment,615.0,97.8,97.1,200.0,60.0,0.0,DEBRIS,Italian hyperspectral fragment (SYNTHETIC)
DEB-044,RISAT Fragment,536.0,97.5,95.1,110.0,25.0,0.0,DEBRIS,Indian radar satellite fragment (SYNTHETIC)
DEB-045,CartoSat Fragment,508.0,97.9,94.4,265.0,18.0,0.0,DEBRIS,Indian remote sensing fragment (SYNTHETIC)
DEB-046,ResourceSat Fragment,817.0,98.7,101.4,305.0,150.0,0.0,DEBRIS,Indian resource satellite fragment (SYNTHETIC)
DEB-047,GSAT Fragment,550.6,51.6,95.32,358.5,359.5,0.0,DEBRIS,Indian communication satellite fragment (SYNTHETIC) — MODERATE RISK
DEB-048,MOM Debris,550.0,51.6,95.3,90.0,45.0,0.0,DEBRIS,Indian Mars Orbiter Mission related debris (SYNTHETIC)
DEB-049,PSLV-C37 Stage,505.0,97.4,94.2,150.0,30.0,0.0,DEBRIS,PSLV upper stage from world-record launch (SYNTHETIC)
DEB-050,Astrosat Fragment,650.0,6.0,97.8,220.0,90.0,0.0,DEBRIS,Indian multi-wavelength satellite fragment (SYNTHETIC)
